Candidate Number,Candidate,Coalition,Party,Twitter - Number of Mentions,Twitter - Number of Users,Twitter- Total Favorites,Twitter - Total Retweets,Twitter - Total Replies,Twitter - Percent News,Twitter - Percent Non-news,Facebook - Number of Candidate Posts,Facebook - Total Comments,Facebook - Total Shares,Facebook - Total Reactions,Political Party,Win,Cash Contributions Received from Other Sources,In-Kind Contributions Received from Other Sources,Cash Contributions Received from Political Party,In-Kind Contributions Received from Political Party,Total Contributions Received,Expenditures Paid Out of Personal Funds,Expenditures Paid Out of Cash Contributions,Expenditures Incurred Using In-Kind Contribution,Total Expenditures Incurred,Difference (Contribution less Expenditure),Unpaid Obligation / Balance,Travel Expenses,"Compensation of campaigners, etc.",Communications,"Stationery, Printing, and Distribution",Employment of Poll Watchers,"Rent, Maintenance, etc.",Political Meetings and Rallies,Pol Ads,Total SLE,Employment of Counsel,Copying and Classifying List of Voters,Printing of Sample Ballots,Total Expenditures,Difference Total in SCE minus Total SLE,Votes
51,Raffy Alunan,,Bagumbayan,1861,709,10398,2255,1190,0.01,0.99,255,5270,3956025,39904114,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059359
52,Richard Alfajora,KKK,Independent,56,24,132,53,37,0,1,40,41,59,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,404513
53,RJ Javellana,KDP,KDP,183,69,443,109,89,0.27,0.73,45,88,881,2795,Katipunan ,0,0,66050,0,0,66050,28855.85,0,0,28855.85,37194.15,0,5034.2,815.2,1800,67090,0,20166.3,0,0,94905.7,0,0,0,94905.7,-66049.85,258538
54,Romy Macalintal,Otso Diretso,Independent,958,560,48637,18006,1641,0.08,0.92,142,361,199060,37960,Independent,0,0,0,0,0,0,8541839.31,0,0,8541839.31,-8541839.31,0,773844.82,62230,57802.24,899153.75,0,75000,8300,6665508.5,8541839.31,0,0,0,8541839.31,0,4007339
55,Samira Gutoc,Otso Diretso,Liberal,23354,9281,553773,133309,15660,0.01,0.99,70,1485,15110808,1100633,Liberal Party,0,3200000,0,0,0,3200000,67212.82,3200000,0,3267212.82,-67212.82,0,97142.68,12420,20638.99,523820,0,81929,0,2531261.87,3267212.54,0,0,0,3267212.54,0.28,4345252
56,Serge Osmeña,,Independent,931,640,6817,1337,645,0.04,0.96,2,82,6654,10730,Independent,0,97500000,0,0,0,97500000,8547137.33,97500000,0,106047137.3,-8547137.33,0,30631.03,710866.67,74679.21,2100618,0,0,0,103130342.4,106047137.3,0,0,0,106047137.3,0,9455202
57,Shariff Albani,WPP,WPP,119,45,317,122,67,0.24,0.76,94,186,51597,11338,Labor Party Philippines,0,400000,104978,0,0,504978,735628,0,0,735628,-230650,0,400000,0,0,335628,0,0,0,0,735628,0,0,0,735628,0,496855
58,Sonny Angara,HNP,LDP,21352,5704,127505,24801,13976,0.01,0.99,55,1967,7753745,11237546,Laban ng Demokratikong Pilipino,1,0,0,0,153341072.4,153341072.4,314113.43,0,153341072.4,153655185.8,-314113.43,0,314113.43,0,0,0,0,0,0,0,314113.43,0,0,0,314113.43,153341072.4,18161862
59,Sonny Matula,"Labor Win, WPP",WPP,421,172,4040,997,260,0.17,0.83,55,134,49055,218587,Workers and Peasants Party,0,102000,218441.91,0,0,320441.91,0,0,0,0,320441.91,0,70774.95,0,38673,140750,0,0,13446.73,236589.7,500234.38,0,0,0,500234.38,-500234.38,400339
60,Toti Casino,KDP,KDP,835,307,3034,761,516,0.05,0.95,37,1011,3445869,665385,,,,,,,,,,,,,,,,,,,,,,,,,,,,580853
61,Vangie Abejo,KKK,Independent,13,13,118,102,7,0,1,21,22,84,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,656006
